codigo_producto,peso_neto_caja,cantidad_paquetes,peso_neto_paquete,caja_tipo_id,dim_producto_largo,dim_producto_ancho,dim_producto_alto,dim_producto_volumen
BR0001,12.5,5,2.5,a23eeef1c0cd8cfd40b780d65382034a,386.0,286.0,303.0,33449988.0
BR0002,9.75,13,0.75,3256a5fed07b421a92abee44a3d93243,395.0,296.0,260.0,30399200.0
BR0003,9.75,13,0.75,4f08f853cf7f9be28571df66a50bc322,388.0,288.0,164.0,18326016.0
BR0004,11.25,9,1.25,c96df5913565ba35f3e02e744c9a6dde,395.0,296.0,224.0,26190080.0
BR0005,9.75,13,0.75,eb4895380ccaa410da0fefb6f12b197b,386.0,286.0,253.0,27930188.0
BR0006,12.5,5,2.5,6d3c3bcdfc4034e3424078243e7668a1,386.0,286.0,286.0,31573256.0
BR0007,9.75,13,0.75,02cf77de65b70dd77905e2e33d78478f,395.0,296.0,291.0,34023720.0
BR0008,11.0,11,1.0,9a88ed4806deaa5c9b3abac82886d23a,386.0,286.0,184.0,20312864.0
BR0009,12.5,5,2.5,55b52b97c05b19dbbbefa191622fe36a,386.0,286.0,179.0,19760884.0
BR0010,9.75,13,0.75,116dda17a7b7fb82c62f462ef4a94218,386.0,286.0,164.0,18104944.0
BR0011,9.75,13,0.75,9d44d480026dfab07731a73d1d0c6539,388.0,288.0,283.0,31623552.0
BR0012,11.25,9,1.25,ad99ed562d5d808977b10fa512bfde8b,386.0,286.0,214.0,23624744.0
BR0013,6.5,13,0.5,c96df5913565ba35f3e02e744c9a6dde,395.0,296.0,224.0,26190080.0
BR0014,9.75,13,0.75,6bd5fa9e984e7243519003fc969aa30d,386.0,286.0,244.0,26936624.0
BR0015,9.75,13,0.75,6bd5fa9e984e7243519003fc969aa30d,386.0,286.0,244.0,26936624.0
BR0016,9.75,13,0.75,6bd5fa9e984e7243519003fc969aa30d,386.0,286.0,244.0,26936624.0
BR0017,9.75,13,0.75,c96df5913565ba35f3e02e744c9a6dde,395.0,296.0,224.0,26190080.0
BR0018,13.0,13,1.0,2060590a59a5c59ff1bb32dbffe1028b,386.0,286.0,288.0,31794048.0
BR0019,6.5,13,0.5,af25ed4a56d3b3317fc10fd23b427cc4,393.0,255.0,260.0,26055900.0
BR0020,12.5,5,2.5,a130566667d4be7bb38053adaefea0af,393.0,255.0,204.0,20443860.0
BR0021,12.5,5,2.5,1a3ffa8018de4637afcdd1e390e2602a,383.0,248.0,199.0,18901816.0
BR0022,12.5,5,2.5,9dbb448086386afae3321dda0441c688,393.0,255.0,230.0,23049450.0
BR0023,12.5,5,2.5,8f61ca662a88d3f0432d0d6a0cfbf2ee,383.0,248.0,179.0,17002136.0
BR0024,12.5,5,2.5,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
BR0025,12.5,5,2.5,55b52b97c05b19dbbbefa191622fe36a,386.0,286.0,179.0,19760884.0
BR0026,12.5,5,2.5,79637c70988d89fe3abe191b59c1ed0c,388.0,288.0,219.0,24471936.0
BR0027,12.5,5,2.5,ad02b3d41b4467a5a65a742951a80e72,386.0,286.0,171.0,18877716.0
BR0028,12.5,5,2.5,4910b652fb2cf1c609d243a1e78d1919,386.0,286.0,217.0,23955932.0
BR0029,12.5,5,2.5,ad02b3d41b4467a5a65a742951a80e72,386.0,286.0,171.0,18877716.0
BR0030,12.5,5,2.5,6317bf81cd9d3fe0f209963e7fd234f7,380.0,282.0,172.0,18431520.0
BR0031,12.5,5,2.5,cb9988b0557e22e3abc2bbe0a56967d0,386.0,286.0,169.0,18656924.0
BR0032,12.5,5,2.5,bfcb33e665554321d0a93ce891eadb54,386.0,286.0,159.0,17552964.0
BR0033,11.0,11,1.0,a12aea41ad9864b83129274495d5d5b2,388.0,288.0,184.0,20560896.0
BR0034,9.75,13,0.75,d3d0a6587d8f983d383e032e2b9acacc,379.0,246.0,182.0,16968588.0
BR0035,12.5,5,2.5,162c41fa859810e889efa37f867819bb,395.0,296.0,214.0,25020880.0
BR0036,12.5,5,2.5,ceda63d824383fb94ca5e9bd08701d70,384.0,286.0,163.0,17901312.0
BR0037,12.5,5,2.5,37070e9f43f02e356af14131f16a3112,393.0,255.0,245.0,24552675.0
BR0038,12.5,5,2.5,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
BR0039,12.5,5,2.5,37070e9f43f02e356af14131f16a3112,393.0,255.0,245.0,24552675.0
BR0040,12.5,5,2.5,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
BR0041,12.5,5,2.5,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
BR0042,12.5,5,2.5,83d3c7c10fbc6fe2e476fd8c600855e2,393.0,255.0,194.0,19441710.0
BR0043,5.0,2,2.5,25b51ca97d24c6dd7fdc2fd6f9551dac,380.0,252.0,144.0,13789440.0
BR0044,5.0,2,2.5,25b51ca97d24c6dd7fdc2fd6f9551dac,380.0,252.0,144.0,13789440.0
BR0045,5.0,2,2.5,f201c0669374a768669461ddff1643e4,375.0,182.0,152.0,10374000.0
BR0046,5.0,2,2.5,25b51ca97d24c6dd7fdc2fd6f9551dac,380.0,252.0,144.0,13789440.0
BR0047,5.0,2,2.5,25b51ca97d24c6dd7fdc2fd6f9551dac,380.0,252.0,144.0,13789440.0
BR0048,11.0,11,1.0,a7d151b83674a2f9c36356597a93821c,380.0,252.0,235.0,22503600.0
BR0049,13.0,13,1.0,ea6403e25e3a52198dad19251c207a47,380.0,252.0,245.0,23461200.0
BR0050,12.5,5,2.5,8b92b5a6728066959f3f11c35d1cd62f,380.0,252.0,218.0,20875680.0
BR0051,9.75,13,0.75,10c5f9edbe2c87186bcdeb991fe8d902,380.0,252.0,228.0,21833280.0
BR0052,12.5,5,2.5,a7d151b83674a2f9c36356597a93821c,380.0,252.0,235.0,22503600.0
BR0053,12.5,5,2.5,8b92b5a6728066959f3f11c35d1cd62f,380.0,252.0,218.0,20875680.0
BR0054,12.5,5,2.5,ea6403e25e3a52198dad19251c207a47,380.0,252.0,245.0,23461200.0
BR0055,12.5,5,2.5,a7d151b83674a2f9c36356597a93821c,380.0,252.0,235.0,22503600.0
BR0056,12.5,5,2.5,a7d151b83674a2f9c36356597a93821c,380.0,252.0,235.0,22503600.0
BR0057,12.5,5,2.5,5291917030874f6b0d887d1710a073f8,380.0,252.0,226.0,21641760.0
BR0058,5.0,2,2.5,f201c0669374a768669461ddff1643e4,375.0,182.0,152.0,10374000.0
BR0059,12.5,5,2.5,ea6403e25e3a52198dad19251c207a47,380.0,252.0,245.0,23461200.0
BR0060,9.75,13,0.75,10c5f9edbe2c87186bcdeb991fe8d902,380.0,252.0,228.0,21833280.0
BR0061,9.75,13,0.75,10c5f9edbe2c87186bcdeb991fe8d902,380.0,252.0,228.0,21833280.0
BR0062,9.75,13,0.75,10c5f9edbe2c87186bcdeb991fe8d902,380.0,252.0,228.0,21833280.0
BR0063,9.75,13,0.75,10c5f9edbe2c87186bcdeb991fe8d902,380.0,252.0,228.0,21833280.0
BR0064,9.75,13,0.75,ea6403e25e3a52198dad19251c207a47,380.0,252.0,245.0,23461200.0
BR0065,12.5,5,2.5,67894c5a8355ca9b7e57b96362fa45f1,388.0,288.0,169.0,18884736.0
BR0066,12.5,5,2.5,27f597341f2223c1757e942d65f52be3,386.0,286.0,162.0,17884152.0
BR0067,6.5,13,0.5,2361696c0cf9b4a8490d7098c11e6a51,393.0,255.0,250.0,25053750.0
BR0068,6.5,13,0.5,ad99ed562d5d808977b10fa512bfde8b,386.0,286.0,214.0,23624744.0
BR0069,12.5,5,2.5,d57ede415e9b30ea0e94a15552298aa3,393.0,255.0,214.0,21446010.0
BR0070,12.5,5,2.5,a130566667d4be7bb38053adaefea0af,393.0,255.0,204.0,20443860.0
BR0071,11.0,11,1.0,fc6931875b8384c7bacd18bb4699795f,393.0,255.0,219.0,21947085.0
BR0072,11.0,11,1.0,fc6931875b8384c7bacd18bb4699795f,393.0,255.0,219.0,21947085.0
BR0073,9.75,13,0.75,4f08f853cf7f9be28571df66a50bc322,388.0,288.0,164.0,18326016.0
BR0074,6.5,13,0.5,6d5c1314ab281dbdd56dc5dde84579b9,395.0,296.0,245.0,28645400.0
BR0075,9.75,13,0.75,3256a5fed07b421a92abee44a3d93243,395.0,296.0,260.0,30399200.0
BR0076,5.0,5,1.0,1e4959b0a5703ba491bdc303578ad11c,393.0,255.0,168.0,16836120.0
BR0077,12.5,5,2.5,eb4895380ccaa410da0fefb6f12b197b,386.0,286.0,253.0,27930188.0
BR0078,12.5,5,2.5,3256a5fed07b421a92abee44a3d93243,395.0,296.0,260.0,30399200.0
BR0079,6.5,13,0.5,457aead6b645a6fdaad21f23a4e8ca12,393.0,255.0,265.0,26556975.0
BR0080,6.5,13,0.5,6a29db0cef2137d2bb15a27d61f064bd,393.0,255.0,270.0,27058050.0
BR0081,9.5,19,0.5,689d55a5924317429c37f70116fcf10b,393.0,255.0,275.0,27559125.0
BR0082,6.5,13,0.5,b1fa69af5a250262387efec5b10a19ae,395.0,296.0,280.0,32737600.0
BR0083,6.5,13,0.5,3256a5fed07b421a92abee44a3d93243,395.0,296.0,260.0,30399200.0
BR0084,6.5,13,0.5,457aead6b645a6fdaad21f23a4e8ca12,393.0,255.0,265.0,26556975.0
BR0085,6.5,13,0.5,6a29db0cef2137d2bb15a27d61f064bd,393.0,255.0,270.0,27058050.0
BR0086,9.75,13,0.75,ad23381bab48bad4640990fdc6a27c9b,383.0,248.0,229.0,21751336.0
BR0087,6.5,13,0.5,1c01c33ced1f5bfdb36a399ac98e0c68,383.0,248.0,214.0,20326576.0
BR0088,9.75,13,0.75,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
BR0089,12.5,5,2.5,1416893384452893b004453859dc1ae4,383.0,248.0,239.0,22701176.0
BR0090,12.5,5,2.5,1c01c33ced1f5bfdb36a399ac98e0c68,383.0,248.0,214.0,20326576.0
BR0091,12.5,5,2.5,b104736a19fe0c796651c18805508482,383.0,248.0,209.0,19851656.0
BR0092,12.5,5,2.5,2361696c0cf9b4a8490d7098c11e6a51,393.0,255.0,250.0,25053750.0
BR0092XL,12.5,5,2.5,225c1760c0e9639bbb73f58d280b7a0e,393.0,294.0,224.0,25881408.0
BR0093,12.5,5,2.5,2361696c0cf9b4a8490d7098c11e6a51,393.0,255.0,250.0,25053750.0
BR0094,12.5,5,2.5,3826faf22304dbe5bef22f8c36155874,393.0,255.0,224.0,22448160.0
BR0095,12.5,5,2.5,3826faf22304dbe5bef22f8c36155874,393.0,255.0,224.0,22448160.0
BR0096,12.5,5,2.5,a130566667d4be7bb38053adaefea0af,393.0,255.0,204.0,20443860.0
BR0097,12.5,5,2.5,e70cd62d04659cbda3f1df24c7140e35,379.0,246.0,197.0,18367098.0
BR0098,12.5,5,2.5,f95687311339e4b9b0ef5622b26fd941,393.0,255.0,209.0,20944935.0
BR0099,12.5,5,2.5,1a3ffa8018de4637afcdd1e390e2602a,383.0,248.0,199.0,18901816.0
BR0100,12.5,5,2.5,bdfc62c15432bf98daa6314e01c97f4b,380.0,282.0,181.0,19395960.0
BR0101,12.5,5,2.5,a864dfb999785d464e7867269d6489cb,380.0,282.0,175.0,18753000.0
BR0102,12.5,5,2.5,5e09543a8b7a6614f447c98559a39851,395.0,296.0,178.0,20811760.0
BR0103,12.5,5,2.5,ea4f4880b999f6854b641f68b394c657,380.0,282.0,201.0,21539160.0
BR0104,12.5,5,2.5,a555028b9dc4a080d444d0af6464279d,386.0,286.0,201.0,22189596.0
BR0105,12.5,5,2.5,55b52b97c05b19dbbbefa191622fe36a,386.0,286.0,179.0,19760884.0
BR0106,12.5,5,2.5,371bc8e13ebaec61128f288334956fa5,391.0,255.0,230.0,22932150.0
BR0107,10.5,2,5.25,35174969e008414733b7133a380c2f8c,391.0,255.0,240.0,23929200.0
BR0108,11.0,11,1.0,a2c4cc4e764be062aaefa64a99695dbe,395.0,296.0,301.0,35192920.0
BR0109,13.0,13,1.0,60eb77c934f99a121f410ec2037a2a46,395.0,296.0,306.0,35777520.0
BR0110,12.5,5,2.5,3826faf22304dbe5bef22f8c36155874,393.0,255.0,224.0,22448160.0
BR0111,12.5,5,2.5,a130566667d4be7bb38053adaefea0af,393.0,255.0,204.0,20443860.0
BR0112,12.5,5,2.5,f95687311339e4b9b0ef5622b26fd941,393.0,255.0,209.0,20944935.0
BR0113,12.5,5,2.5,3f4b03b56bb388655f2cb1495b69f5d7,388.0,288.0,278.0,31064832.0
BR0114,8.75,5,1.75,d0098765b25906b02fe80a96f1e6e287,395.0,296.0,255.0,29814600.0
BR0115,12.5,5,2.5,ab2be01db2336d90876b25f646f81b48,386.0,286.0,283.0,31242068.0
BR0116,12.5,5,2.5,116dda17a7b7fb82c62f462ef4a94218,386.0,286.0,164.0,18104944.0
BR0117,12.5,5,2.5,ce9d9f5685ddf0df230b3137826b5cde,386.0,286.0,256.0,28261376.0
BR0118,6.5,13,0.5,5752498adef915345dabc54b32edf146,395.0,296.0,219.0,25605480.0
BR0119,12.5,5,2.5,fea00d6f87d3f80808e9e8d1b501120a,395.0,296.0,184.0,21513280.0
BR0120,11.0,11,1.0,1333ec917a8a6111a3fac88649307892,380.0,287.0,219.0,23884140.0
BR0121,12.0,16,0.75,c98f51071fa8c135d7071023f6b23ac0,388.0,288.0,348.0,38886912.0
BR0122,12.0,16,0.75,2358aed8ccfb64eb89ff5dcd9e30de7d,395.0,296.0,352.0,41155840.0
BR0123,13.0,13,1.0,0835ff365412a67b720a19713ec250f3,386.0,286.0,278.0,30690088.0
BR0124,12.0,16,0.75,2358aed8ccfb64eb89ff5dcd9e30de7d,395.0,296.0,352.0,41155840.0
BR0125,13.0,13,1.0,a699f7e10a026261e599215bbbee0cbc,380.0,282.0,202.0,21646320.0
BR0126,13.0,13,1.0,aaf392f3c544855a81cee5b4895b3983,380.0,282.0,256.0,27432960.0
BR0127,13.0,13,1.0,a699f7e10a026261e599215bbbee0cbc,380.0,282.0,202.0,21646320.0
BR0128,12.5,5,2.5,f95687311339e4b9b0ef5622b26fd941,393.0,255.0,209.0,20944935.0
BR0129,12.5,5,2.5,f95687311339e4b9b0ef5622b26fd941,393.0,255.0,209.0,20944935.0
BR0130,9.75,13,0.75,4989f7c44b56191eebb2c0b95763c0db,395.0,296.0,250.0,29230000.0
BR0131,16.25,13,1.25,3256a5fed07b421a92abee44a3d93243,395.0,296.0,260.0,30399200.0
BR0132,11.0,11,1.0,34dbd33aabcf7123c6ee197304f6312d,395.0,245.0,230.0,22258250.0
BR0133,12.5,5,2.5,34dbd33aabcf7123c6ee197304f6312d,395.0,245.0,230.0,22258250.0
BR0134,13.75,11,1.25,b10375e57c7a7f209de7bf3aec5aa29f,386.0,286.0,268.0,29586128.0
BR0135,12.5,5,2.5,e205014ff79e36431f829f1fab46061c,388.0,288.0,273.0,30506112.0
BR0136,12.5,5,2.5,4d0dc68792c8a76defd00faaff677665,379.0,281.0,289.0,30778211.0
BR0136XL,12.5,5,2.5,584c93c412f45cd05fb6c4c753038aa1,379.0,285.0,289.0,31216335.0
BR0137,12.5,5,2.5,cd9c1ebb698c60a0d79bc82cf70c2404,393.0,255.0,311.0,31166865.0
BR0138,5.0,2,2.5,25b51ca97d24c6dd7fdc2fd6f9551dac,380.0,252.0,144.0,13789440.0
BR0139,8.75,5,1.75,c9eb200a8d16b9dc82e130d6874c099c,395.0,296.0,270.0,31568400.0
BR0140,6.5,13,0.5,5914abeae491eab8612131985b15994f,386.0,286.0,239.0,26384644.0
BR0141,6.5,13,0.5,5914abeae491eab8612131985b15994f,386.0,286.0,239.0,26384644.0
BR0142,11.0,11,1.0,8f26468860664ecfed551104179d7f3e,386.0,286.0,318.0,35105928.0
BR0143,12.5,5,2.5,cc0d190e9c91b2ee40868981c9f6d0f6,380.0,282.0,266.0,28504560.0
BR0144,12.5,5,2.5,1e68edd4dd3edf793634e204ec225c3b,380.0,282.0,215.0,23039400.0
BR0145,12.5,5,2.5,952d7cb277c22fee189451276b46d536,388.0,288.0,179.0,20002176.0
BR0146,12.5,5,2.5,ddc544b82bb095f53666029f60d7e482,391.0,296.0,173.0,20022328.0
BR0147,12.5,5,2.5,5229dfb764d843b66341f7ca5cdec3dd,388.0,288.0,214.0,23913216.0
BR0148,12.5,5,2.5,161332db17a4c8bcba8a5651098cbe91,388.0,288.0,189.0,21119616.0
BR0149,12.5,5,2.5,fe7802fb3f92b710413a4de88233a3f7,388.0,288.0,174.0,19443456.0
BR0150,12.5,5,2.5,631adf6ff70b5781bcd77a8f20a140e0,386.0,286.0,192.0,21196032.0
BR0151,12.5,5,2.5,414d4cf5c1bc8a346f7e4445ede7acbd,386.0,286.0,229.0,25280684.0
BR0152,12.5,5,2.5,27cfee279bf2517d910cfab7c0b51213,386.0,286.0,204.0,22520784.0
BR0153,12.5,5,2.5,a81b2225c037d3a9acb4e700a03958ae,386.0,286.0,232.0,25611872.0
BR0154,12.5,5,2.5,5229dfb764d843b66341f7ca5cdec3dd,388.0,288.0,214.0,23913216.0
BR0155,12.5,5,2.5,27cfee279bf2517d910cfab7c0b51213,386.0,286.0,204.0,22520784.0
BR0156,12.5,5,2.5,fe7802fb3f92b710413a4de88233a3f7,388.0,288.0,174.0,19443456.0
BR0157,12.5,5,2.5,ce9d9f5685ddf0df230b3137826b5cde,386.0,286.0,256.0,28261376.0
BR0158,12.5,5,2.5,4f08f853cf7f9be28571df66a50bc322,388.0,288.0,164.0,18326016.0
BR0159,12.5,5,2.5,116dda17a7b7fb82c62f462ef4a94218,386.0,286.0,164.0,18104944.0
BR0160,12.5,5,2.5,116dda17a7b7fb82c62f462ef4a94218,386.0,286.0,164.0,18104944.0
BR0161,12.5,5,2.5,161332db17a4c8bcba8a5651098cbe91,388.0,288.0,189.0,21119616.0
BR0162,11.0,11,1.0,4e4ab9c5dd0e741b2d59dd243d6a270a,383.0,285.0,226.0,24669030.0
BR0163,12.5,5,2.5,ad99ed562d5d808977b10fa512bfde8b,386.0,286.0,214.0,23624744.0
BR0164,12.5,5,2.5,eb8c91d6266d086a541d9c7411a9d92f,388.0,288.0,149.0,16649856.0
BR0165,12.5,5,2.5,6d3b65a1af8cc152d64aed67c4b13230,383.0,285.0,191.0,20848605.0
BR0166,5.0,5,1.0,3068e6f2a2ce79314e458b7a6ab57b4d,388.0,288.0,144.0,16091136.0
BR0167,5.0,5,1.0,4c00c9ca639e09b29ebaf3d4ce15c111,395.0,296.0,148.0,17304160.0
BR0168,5.0,5,1.0,7a36a62f118b7544b9313b676a30ea35,388.0,288.0,199.0,22237056.0
BR0169,11.0,11,1.0,be032c6684b548fff0bd0e094da34f35,383.0,285.0,211.0,23031705.0
BR0170,5.0,5,1.0,3068e6f2a2ce79314e458b7a6ab57b4d,388.0,288.0,144.0,16091136.0
BR0171,11.0,11,1.0,519a80871f454928779db9ed3e039e2b,380.0,282.0,167.0,17895720.0
BR0172,8.75,5,1.75,414d4cf5c1bc8a346f7e4445ede7acbd,386.0,286.0,229.0,25280684.0
BR0173,8.75,5,1.75,bdefb2124af27fa9ca0fa5d293a18aa4,386.0,286.0,209.0,23072764.0
BR0174,8.75,5,1.75,116dda17a7b7fb82c62f462ef4a94218,386.0,286.0,164.0,18104944.0
BR0175,8.75,5,1.75,2060590a59a5c59ff1bb32dbffe1028b,386.0,286.0,288.0,31794048.0
BR0176,5.0,5,1.0,1e4959b0a5703ba491bdc303578ad11c,393.0,255.0,168.0,16836120.0
BR0177,5.0,5,1.0,1e4959b0a5703ba491bdc303578ad11c,393.0,255.0,168.0,16836120.0
BR0178,5.0,5,1.0,4b244c7cfb71e51bf24fcc396d19c509,393.0,250.0,168.0,16506000.0
BR0179,5.0,5,1.0,1aef9680c5b131e489d3ac61e5ace43f,384.0,286.0,148.0,16253952.0
BR0180,5.0,5,1.0,1e4959b0a5703ba491bdc303578ad11c,393.0,255.0,168.0,16836120.0
BR0181,5.0,5,1.0,1e4959b0a5703ba491bdc303578ad11c,393.0,255.0,168.0,16836120.0
BR0182,12.5,5,2.5,a1c08078a73de9700accb1bfa9d293be,395.0,292.0,245.0,28258300.0
BR0183,12.5,5,2.5,fc6931875b8384c7bacd18bb4699795f,393.0,255.0,219.0,21947085.0
BR0184,12.5,5,2.5,8850d576186653964c356b848cd2153a,386.0,286.0,194.0,21416824.0
BR0185,12.5,5,2.5,78476d2a5588a720c7742ab9b866c42e,393.0,255.0,286.0,28661490.0
BR0186,12.5,5,2.5,27cfee279bf2517d910cfab7c0b51213,386.0,286.0,204.0,22520784.0
BR0187,12.5,5,2.5,e743e947473252606cfa14519dbf593b,393.0,255.0,291.0,29162565.0
BR0188,12.5,5,2.5,d31c61f54dfba12e6064bda2c75bc9f2,395.0,292.0,194.0,22375960.0
BR0189,12.5,5,2.5,37070e9f43f02e356af14131f16a3112,393.0,255.0,245.0,24552675.0
BR0190,12.5,5,2.5,37070e9f43f02e356af14131f16a3112,393.0,255.0,245.0,24552675.0
BR0191,12.5,5,2.5,fc6931875b8384c7bacd18bb4699795f,393.0,255.0,219.0,21947085.0
BR0192,12.5,5,2.5,1a3ffa8018de4637afcdd1e390e2602a,383.0,248.0,199.0,18901816.0
BR0193,12.5,5,2.5,78476d2a5588a720c7742ab9b866c42e,393.0,255.0,286.0,28661490.0
BR0194,8.75,5,1.75,f1efec47e48187c72213058375afab2c,395.0,296.0,286.0,33439120.0
BR0195,12.5,5,2.5,02cf77de65b70dd77905e2e33d78478f,395.0,296.0,291.0,34023720.0
BR0196,12.5,5,2.5,3249c6671a2e400c91ae940376aa4946,388.0,288.0,268.0,29947392.0
BR0197,12.5,5,2.5,614801e8bbdec32546c0d92055dfb596,388.0,288.0,194.0,21678336.0
BR0198,12.5,5,2.5,3bbb0a264f46985b05693bd22a6944d3,381.0,283.0,188.0,20270724.0
BR0199,12.5,5,2.5,79637c70988d89fe3abe191b59c1ed0c,388.0,288.0,219.0,24471936.0
BR0200,12.5,5,2.5,ad02b3d41b4467a5a65a742951a80e72,386.0,286.0,171.0,18877716.0
BR0201,12.5,5,2.5,162c41fa859810e889efa37f867819bb,395.0,296.0,214.0,25020880.0
BR0202,12.5,5,2.5,67894c5a8355ca9b7e57b96362fa45f1,388.0,288.0,169.0,18884736.0
BR0203,12.5,5,2.5,f95687311339e4b9b0ef5622b26fd941,393.0,255.0,209.0,20944935.0
BR0204,12.5,5,2.5,3826faf22304dbe5bef22f8c36155874,393.0,255.0,224.0,22448160.0
BR0205,12.5,5,2.5,414d4cf5c1bc8a346f7e4445ede7acbd,386.0,286.0,229.0,25280684.0
BR0206,12.5,5,2.5,48d2fa87ef6ac189e633680672b6132e,386.0,286.0,199.0,21968804.0
BR0207,12.5,5,2.5,48d2fa87ef6ac189e633680672b6132e,386.0,286.0,199.0,21968804.0
BR0208,12.5,5,2.5,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
BR0209,12.5,5,2.5,bbc4a9c702728931b676523ffd513a75,384.0,284.0,179.0,19521024.0
BR0209XL,12.5,5,2.5,f324c5af11a778e41d0ca8572b5187bb,384.0,286.0,184.0,20207616.0
