codigo_producto,volumen_producto_total,volumen_producto_planta_buenos_aires,volumen_producto_planta_curitiba,volumen_producto_planta_santiago,volumen_producto_planta_monterrey,volumen_producto_planta_bakersfield,cantidad_pallets_planta_buenos_aires,cantidad_pallets_planta_curitiba,cantidad_pallets_planta_santiago,cantidad_pallets_planta_monterrey,cantidad_pallets_planta_bakersfield,cantidad_pallets_total,costo_total_planta_buenos_aires,costo_total_planta_curitiba,costo_total_planta_santiago,costo_total_planta_monterrey,costo_total_planta_bakersfield,costo_pallets_planta_buenos_aires,costo_pallets_planta_curitiba,costo_pallets_planta_santiago,costo_pallets_planta_monterrey,costo_pallets_planta_bakersfield,costo_pallets_total,costo_total
BR0001,1546613,0,1431746,26583,88284,0,0,35794,665,2208,0,38667,0.0,701555.54,18608.1,55618.92,0.0,0,5369100,99750,331200,0,5800050,775782.56
BR0002,139211,0,139211,0,0,0,0,2901,0,0,0,2901,0.0,72389.72,0.0,0.0,0.0,0,435150,0,0,0,435150,72389.72
BR0003,172506,0,0,0,0,172506,0,0,0,0,2157,2157,0.0,0.0,0.0,0.0,96603.36000000002,0,0,0,0,323550,323550,96603.36000000002
BR0004,271715,0,0,0,0,271715,0,0,0,0,4853,4853,0.0,0.0,0.0,0.0,141291.80000000002,0,0,0,0,727950,727950,141291.80000000002
BR0005,7586,0,7586,0,0,0,0,159,0,0,0,159,0.0,4248.160000000001,0.0,0.0,0.0,0,23850,0,0,0,23850,4248.160000000001
BR0006,6901,0,6901,0,0,0,0,144,0,0,0,144,0.0,5313.77,0.0,0.0,0.0,0,21600,0,0,0,21600,5313.77
BR0007,46847,0,46847,0,0,0,0,976,0,0,0,976,0.0,27405.495,0.0,0.0,0.0,0,146400,0,0,0,146400,27405.495
BR0008,14639,14639,0,0,0,0,204,0,0,0,0,204,9222.57,0.0,0.0,0.0,0.0,30600,0,0,0,0,30600,9222.57
BR0009,18019,2814,6406,4193,2112,2494,40,89,59,30,35,253,1378.86,3138.94,3228.61,1182.72,1920.38,6000,13350,8850,4500,5250,37950,10849.509999999998
BR0010,24339,0,24339,0,0,0,0,305,0,0,0,305,0.0,11926.11,0.0,0.0,0.0,0,45750,0,0,0,45750,11926.11
BR0011,13433,0,0,13433,0,0,0,0,280,0,0,280,0.0,0.0,10343.41,0.0,0.0,0,0,42000,0,0,42000,10343.41
BR0012,281875,0,0,0,0,281875,0,0,0,0,4405,4405,0.0,0.0,0.0,0.0,157850.00000000003,0,0,0,0,660750,660750,157850.00000000003
BR0013,153252,0,153252,0,0,0,0,2737,0,0,0,2737,0.0,79691.04000000001,0.0,0.0,0.0,0,410550,0,0,0,410550,79691.04000000001
BR0014,56319,0,0,0,0,56319,0,0,0,0,1006,1006,0.0,0.0,0.0,0.0,31538.640000000003,0,0,0,0,150900,150900,31538.640000000003
BR0015,30911,0,0,0,0,30911,0,0,0,0,552,552,0.0,0.0,0.0,0.0,17310.16,0,0,0,0,82800,82800,17310.16
BR0016,30466,0,0,0,0,30466,0,0,0,0,545,545,0.0,0.0,0.0,0.0,17060.960000000003,0,0,0,0,81750,81750,17060.960000000003
BR0017,131799,0,131799,0,0,0,0,2354,0,0,0,2354,0.0,68535.48,0.0,0.0,0.0,0,353100,0,0,0,353100,68535.48
BR0018,181571,0,0,0,0,181571,0,0,0,0,3783,3783,0.0,0.0,0.0,0.0,101679.76,0,0,0,0,567450,567450,101679.76
BR0019,1447,0,1447,0,0,0,0,31,0,0,0,31,0.0,1034.605,0.0,0.0,0.0,0,4650,0,0,0,4650,1034.605
BR0020,91699,70380,0,0,21319,0,1100,0,0,334,0,1434,41172.3,0.0,0.0,9700.145,0.0,165000,0,0,50100,0,215100,50872.44499999999
BR0021,40184,40184,0,0,0,0,628,0,0,0,0,628,22503.04,0.0,0.0,0.0,0.0,94200,0,0,0,0,94200,22503.04
BR0022,14747,14747,0,0,0,0,264,0,0,0,0,264,9585.55,0.0,0.0,0.0,0.0,39600,0,0,0,0,39600,9585.55
BR0023,13807,0,13807,0,0,0,0,192,0,0,0,192,0.0,8698.41,0.0,0.0,0.0,0,28800,0,0,0,28800,8698.41
BR0024,3004,0,0,3004,0,0,0,0,54,0,0,54,0.0,0.0,1366.82,0.0,0.0,0,0,8100,0,0,8100,1366.82
BR0025,139891,44072,0,0,95819,0,613,0,0,1331,0,1944,21595.28,0.0,0.0,53658.64000000001,0.0,91950,0,0,199650,0,291600,75253.92000000001
BR0026,109226,68302,0,0,40924,0,1220,0,0,731,0,1951,38249.12,0.0,0.0,28646.8,0.0,183000,0,0,109650,0,292650,66895.92
BR0027,82289,82289,0,0,0,0,1143,0,0,0,0,1143,46081.84,0.0,0.0,0.0,0.0,171450,0,0,0,0,171450,46081.84
BR0028,3136,3136,0,0,0,0,56,0,0,0,0,56,2414.7200000000003,0.0,0.0,0.0,0.0,8400,0,0,0,0,8400,2414.7200000000003
BR0029,86631,86631,0,0,0,0,1204,0,0,0,0,1204,48513.36000000001,0.0,0.0,0.0,0.0,180600,0,0,0,0,180600,48513.36000000001
BR0030,29133,0,29133,0,0,0,0,405,0,0,0,405,0.0,20393.1,0.0,0.0,0.0,0,60750,0,0,0,60750,20393.1
BR0031,13965,13965,0,0,0,0,175,0,0,0,0,175,10753.05,0.0,0.0,0.0,0.0,26250,0,0,0,0,26250,10753.05
BR0032,14194,14194,0,0,0,0,178,0,0,0,0,178,10929.38,0.0,0.0,0.0,0.0,26700,0,0,0,0,26700,10929.38
BR0033,64963,64963,0,0,0,0,903,0,0,0,0,903,40926.69,0.0,0.0,0.0,0.0,135450,0,0,0,0,135450,40926.69
BR0034,730326,0,617364,112962,0,0,0,8575,1569,0,0,10144,0.0,302508.36,63258.72000000001,0.0,0.0,0,1286250,235350,0,0,1521600,365767.08
BR0035,15862,15862,0,0,0,0,248,0,0,0,0,248,10310.3,0.0,0.0,0.0,0.0,37200,0,0,0,0,37200,10310.3
BR0036,27685,11088,0,0,16597,0,139,0,0,208,0,347,8537.76,0.0,0.0,12779.69,0.0,20850,0,0,31200,0,52050,21317.45
BR0037,66140,0,0,66140,0,0,0,0,1182,0,0,1182,0.0,0.0,38691.9,0.0,0.0,0,0,177300,0,0,177300,38691.9
BR0038,31584,0,31584,0,0,0,0,564,0,0,0,564,0.0,14370.72,0.0,0.0,0.0,0,84600,0,0,0,84600,14370.72
BR0039,23523,0,23523,0,0,0,0,421,0,0,0,421,0.0,10702.965,0.0,0.0,0.0,0,63150,0,0,0,63150,10702.965
BR0040,12725,0,12725,0,0,0,0,228,0,0,0,228,0.0,5789.875,0.0,0.0,0.0,0,34200,0,0,0,34200,5789.875
BR0041,43428,0,43428,0,0,0,0,776,0,0,0,776,0.0,19759.74,0.0,0.0,0.0,0,116400,0,0,0,116400,19759.74
BR0042,31809,0,31809,0,0,0,0,498,0,0,0,498,0.0,14473.095,0.0,0.0,0.0,0,74700,0,0,0,74700,14473.095
BR0043,11771,11771,0,0,0,0,123,0,0,0,0,123,7062.599999999999,0.0,0.0,0.0,0.0,18450,0,0,0,0,18450,7062.599999999999
BR0044,2256,2256,0,0,0,0,24,0,0,0,0,24,1353.6,0.0,0.0,0.0,0.0,3600,0,0,0,0,3600,1353.6
BR0045,13225,13225,0,0,0,0,101,0,0,0,0,101,7935.0,0.0,0.0,0.0,0.0,15150,0,0,0,0,15150,7935.0
BR0046,8665,8665,0,0,0,0,91,0,0,0,0,91,5199.0,0.0,0.0,0.0,0.0,13650,0,0,0,0,13650,5199.0
BR0047,2166,2166,0,0,0,0,23,0,0,0,0,23,1299.6,0.0,0.0,0.0,0.0,3450,0,0,0,0,3450,1299.6
BR0048,222,35,79,51,26,31,1,2,1,1,1,6,16.8,52.14,33.660000000000004,17.16,20.46,150,300,150,150,150,900,140.22
BR0049,4328,4328,0,0,0,0,78,0,0,0,0,78,2337.1200000000003,0.0,0.0,0.0,0.0,11700,0,0,0,0,11700,2337.1200000000003
BR0050,9242,9242,0,0,0,0,145,0,0,0,0,145,6099.72,0.0,0.0,0.0,0.0,21750,0,0,0,0,21750,6099.72
BR0051,225,35,80,52,27,31,1,2,1,1,1,6,18.9,52.8,34.32,17.82,20.46,150,300,150,150,150,900,144.3
BR0052,68844,68844,0,0,0,0,1230,0,0,0,0,1230,33045.119999999995,0.0,0.0,0.0,0.0,184500,0,0,0,0,184500,33045.119999999995
BR0053,2320,2320,0,0,0,0,37,0,0,0,0,37,1531.2,0.0,0.0,0.0,0.0,5550,0,0,0,0,5550,1531.2
BR0054,42687,42687,0,0,0,0,763,0,0,0,0,763,23050.980000000003,0.0,0.0,0.0,0.0,114450,0,0,0,0,114450,23050.980000000003
BR0055,74368,74368,0,0,0,0,1328,0,0,0,0,1328,35696.64,0.0,0.0,0.0,0.0,199200,0,0,0,0,199200,35696.64
BR0056,15355,15355,0,0,0,0,275,0,0,0,0,275,7370.4,0.0,0.0,0.0,0.0,41250,0,0,0,0,41250,7370.4
BR0057,23499,23499,0,0,0,0,420,0,0,0,0,420,14099.4,0.0,0.0,0.0,0.0,63000,0,0,0,0,63000,14099.4
BR0058,7710,7710,0,0,0,0,59,0,0,0,0,59,4626.0,0.0,0.0,0.0,0.0,8850,0,0,0,0,8850,4626.0
BR0059,4286,4286,0,0,0,0,77,0,0,0,0,77,2314.44,0.0,0.0,0.0,0.0,11550,0,0,0,0,11550,2314.44
BR0060,28971,28971,0,0,0,0,518,0,0,0,0,518,15644.34,0.0,0.0,0.0,0.0,77700,0,0,0,0,77700,15644.34
BR0061,4504,4504,0,0,0,0,81,0,0,0,0,81,2432.1600000000003,0.0,0.0,0.0,0.0,12150,0,0,0,0,12150,2432.1600000000003
BR0062,6025,6025,0,0,0,0,108,0,0,0,0,108,3253.5,0.0,0.0,0.0,0.0,16200,0,0,0,0,16200,3253.5
BR0063,11555,11555,0,0,0,0,207,0,0,0,0,207,6239.700000000001,0.0,0.0,0.0,0.0,31050,0,0,0,0,31050,6239.700000000001
BR0064,14837,14837,0,0,0,0,265,0,0,0,0,265,8011.98,0.0,0.0,0.0,0.0,39750,0,0,0,0,39750,8011.98
BR0065,96294,0,0,0,0,96294,0,0,0,0,1204,1204,0.0,0.0,0.0,0.0,53924.64000000001,0,0,0,0,180600,180600,53924.64000000001
BR0066,59101,0,0,0,0,59101,0,0,0,0,739,739,0.0,0.0,0.0,0.0,37233.63,0,0,0,0,110850,110850,37233.63
BR0067,17211,0,17211,0,0,0,0,359,0,0,0,359,0.0,8949.720000000001,0.0,0.0,0.0,0,53850,0,0,0,53850,8949.720000000001
BR0068,40139,0,0,40139,0,0,0,0,628,0,0,628,0.0,0.0,28097.3,0.0,0.0,0,0,94200,0,0,94200,28097.3
BR0069,50453,0,7848,0,42605,0,0,123,0,666,0,789,0.0,5611.32,0.0,24923.925,0.0,0,18450,0,99900,0,118350,30535.245
BR0070,34374,0,11465,0,22909,0,0,180,0,358,0,538,0.0,5961.8,0.0,10423.595,0.0,0,27000,0,53700,0,80700,16385.395
BR0071,38905,38905,0,0,0,0,695,0,0,0,0,695,20230.6,0.0,0.0,0.0,0.0,104250,0,0,0,0,104250,20230.6
BR0072,41795,41795,0,0,0,0,747,0,0,0,0,747,21733.4,0.0,0.0,0.0,0.0,112050,0,0,0,0,112050,21733.4
BR0073,28834,0,0,0,0,28834,0,0,0,0,361,361,0.0,0.0,0.0,0.0,16147.04,0,0,0,0,54150,54150,16147.04
BR0074,26579,0,26579,0,0,0,0,475,0,0,0,475,0.0,17276.350000000002,0.0,0.0,0.0,0,71250,0,0,0,71250,17276.350000000002
BR0075,21503,0,21503,0,0,0,0,448,0,0,0,448,0.0,11181.56,0.0,0.0,0.0,0,67200,0,0,0,67200,11181.56
BR0076,34665,5413,12325,8066,4063,4798,68,155,101,51,60,435,3870.295,7210.125,5242.900000000001,2905.045,3430.57,10200,23250,15150,7650,9000,65250,22658.935
BR0077,882124,0,0,882124,0,0,0,0,18378,0,0,18378,0.0,0.0,432240.76,0.0,0.0,0,0,2756700,0,0,2756700,432240.76
BR0078,1153925,0,0,1153925,0,0,0,0,24041,0,0,24041,0.0,0.0,525035.875,0.0,0.0,0,0,3606150,0,0,3606150,525035.875
BR0079,34751,0,0,34751,0,0,0,0,724,0,0,724,0.0,0.0,18070.52,0.0,0.0,0,0,108600,0,0,108600,18070.52
BR0080,25092,0,0,25092,0,0,0,0,523,0,0,523,0.0,0.0,14678.82,0.0,0.0,0,0,78450,0,0,78450,14678.82
BR0081,4121,0,4121,0,0,0,0,86,0,0,0,86,0.0,2946.515,0.0,0.0,0.0,0,12900,0,0,0,12900,2946.515
BR0082,39328,0,4555,34773,0,0,0,95,725,0,0,820,0.0,3256.825,22602.45,0.0,0.0,0,14250,108750,0,0,123000,25859.275
BR0083,70617,0,0,70617,0,0,0,0,1472,0,0,1472,0.0,0.0,32130.735,0.0,0.0,0,0,220800,0,0,220800,32130.735
BR0084,24454,0,0,24454,0,0,0,0,510,0,0,510,0.0,0.0,12716.08,0.0,0.0,0,0,76500,0,0,76500,12716.08
BR0085,17199,0,2066,15133,0,0,0,44,316,0,0,360,0.0,1477.1899999999998,8852.805,0.0,0.0,0,6600,47400,0,0,54000,10329.995
BR0086,32651,0,0,32651,0,0,0,0,584,0,0,584,0.0,0.0,22855.7,0.0,0.0,0,0,87600,0,0,87600,22855.7
BR0087,16019,0,16019,0,0,0,0,251,0,0,0,251,0.0,10091.97,0.0,0.0,0.0,0,37650,0,0,0,37650,10091.97
BR0088,10654,0,0,10654,0,0,0,0,191,0,0,191,0.0,0.0,4847.570000000001,0.0,0.0,0,0,28650,0,0,28650,4847.570000000001
BR0089,33240,0,33240,0,0,0,0,594,0,0,0,594,0.0,23268.0,0.0,0.0,0.0,0,89100,0,0,0,89100,23268.0
BR0090,53180,0,0,0,53180,0,0,0,0,831,0,831,0.0,0.0,0.0,33503.4,0.0,0,0,0,124650,0,124650,33503.4
BR0091,35060,0,0,0,35060,0,0,0,0,548,0,548,0.0,0.0,0.0,24542.0,0.0,0,0,0,82200,0,82200,24542.0
BR0092,995319,0,367465,0,99701,528153,0,7656,0,2078,11004,20738,0.0,191081.8,0.0,45363.955,240309.615,0,1148400,0,311700,1650600,3110700,476755.37
BR0092,976109,0,360373,0,97776,517960,0,6436,0,1746,9250,17432,0.0,187393.96,0.0,57198.96,235671.8,0,965400,0,261900,1387500,2614800,480264.72
BR0093,1345630,0,0,0,1345630,0,0,0,0,28034,0,28034,0.0,0.0,0.0,612261.65,0.0,0,0,0,4205100,0,4205100,612261.65
BR0094,2592909,0,789405,52684,1173993,576827,0,14097,941,20965,10301,46304,0.0,359179.275,27395.68,534166.8150000001,262456.28500000003,0,2114550,141150,3144750,1545150,6945600,1183198.0550000002
BR0094,2555805,0,778109,51931,1157193,568572,0,13895,928,20665,10154,45642,0.0,354039.59500000003,27004.120000000003,526522.8150000001,258700.26,0,2084250,139200,3099750,1523100,6846300,1166266.79
BR0095,660917,0,0,0,660917,0,0,0,0,11803,0,11803,0.0,0.0,0.0,300717.235,0.0,0,0,0,1770450,0,1770450,300717.235
BR0096,425529,0,123907,0,301622,0,0,1937,0,4713,0,6650,0.0,64431.64,0.0,137238.01,0.0,0,290550,0,706950,0,997500,201669.65
BR0097,137695,0,22469,0,115226,0,0,352,0,1801,0,2153,0.0,15728.3,0.0,64526.560000000005,0.0,0,52800,0,270150,0,322950,80254.86
BR0098,342718,0,85883,0,256835,0,0,1342,0,4014,0,5356,0.0,50241.555,0.0,116859.925,0.0,0,201300,0,602100,0,803400,167101.48
BR0099,64345,0,0,0,64345,0,0,0,0,1006,0,1006,0.0,0.0,0.0,36033.2,0.0,0,0,0,150900,0,150900,36033.2
BR0100,78594,78594,0,0,0,0,1092,0,0,0,0,1092,49514.22,0.0,0.0,0.0,0.0,163800,0,0,0,0,163800,49514.22
BR0101,22584,22584,0,0,0,0,314,0,0,0,0,314,15808.8,0.0,0.0,0.0,0.0,47100,0,0,0,0,47100,15808.8
BR0102,26836,0,26836,0,0,0,0,373,0,0,0,373,0.0,15699.06,0.0,0.0,0.0,0,55950,0,0,0,55950,15699.06
BR0103,61923,61923,0,0,0,0,968,0,0,0,0,968,39011.49,0.0,0.0,0.0,0.0,145200,0,0,0,0,145200,39011.49
BR0104,147015,147015,0,0,0,0,2298,0,0,0,0,2298,82328.40000000001,0.0,0.0,0.0,0.0,344700,0,0,0,0,344700,82328.40000000001
BR0105,1004197,304156,700041,0,0,0,4225,9723,0,0,0,13948,149036.44,343020.09,0.0,0.0,0.0,633750,1458450,0,0,0,2092200,492056.53
BR0106,12592,0,0,12592,0,0,0,0,225,0,0,225,0.0,0.0,9003.279999999999,0.0,0.0,0,0,33750,0,0,33750,9003.279999999999
BR0107,81566,0,0,81566,0,0,0,0,1457,0,0,1457,0.0,0.0,47716.11,0.0,0.0,0,0,218550,0,0,218550,47716.11
BR0108,11355,0,11355,0,0,0,0,284,0,0,0,284,0.0,8118.825,0.0,0.0,0.0,0,42600,0,0,0,42600,8118.825
BR0109,17891,0,17891,0,0,0,0,448,0,0,0,448,0.0,12792.065,0.0,0.0,0.0,0,67200,0,0,0,67200,12792.065
BR0110,126269,0,0,0,126269,0,0,0,0,2255,0,2255,0.0,0.0,0.0,57452.395,0.0,0,0,0,338250,0,338250,57452.395
BR0111,214237,0,47356,0,166881,0,0,740,0,2608,0,3348,0.0,24625.120000000003,0.0,75930.855,0.0,0,111000,0,391200,0,502200,100555.975
BR0112,23107,0,0,0,23107,0,0,0,0,362,0,362,0.0,0.0,0.0,10513.685,0.0,0,0,0,54300,0,54300,10513.685
BR0113,7783,0,0,0,0,7783,0,0,0,0,163,163,0.0,0.0,0.0,0.0,5992.91,0,0,0,0,24450,24450,5992.91
BR0114,9070,9070,0,0,0,0,189,0,0,0,0,189,5986.200000000001,0.0,0.0,0.0,0.0,28350,0,0,0,0,28350,5986.200000000001
BR0115,51630,0,0,51630,0,0,0,0,1076,0,0,1076,0.0,0.0,25298.7,0.0,0.0,0,0,161400,0,0,161400,25298.7
BR0116,6730,0,6730,0,0,0,0,85,0,0,0,85,0.0,3297.7,0.0,0.0,0.0,0,12750,0,0,0,12750,3297.7
BR0117,28815,0,0,28815,0,0,0,0,601,0,0,601,0.0,0.0,14119.35,0.0,0.0,0,0,90150,0,0,90150,14119.35
BR0118,16633,0,16633,0,0,0,0,298,0,0,0,298,0.0,9730.305,0.0,0.0,0.0,0,44700,0,0,0,44700,9730.305
BR0119,35599,0,0,35599,0,0,0,0,495,0,0,495,0.0,0.0,23139.35,0.0,0.0,0,0,74250,0,0,74250,23139.35
BR0120,439,439,0,0,0,0,7,0,0,0,0,7,289.74,0.0,0.0,0.0,0.0,1050,0,0,0,0,1050,289.74
BR0121,12373,0,12373,0,0,0,0,310,0,0,0,310,0.0,9527.21,0.0,0.0,0.0,0,46500,0,0,0,46500,9527.21
BR0122,14021,0,14021,0,0,0,0,439,0,0,0,439,0.0,9113.65,0.0,0.0,0.0,0,65850,0,0,0,65850,9113.65
BR0123,9196,0,0,0,0,9196,0,0,0,0,192,192,0.0,0.0,0.0,0.0,7080.92,0,0,0,0,28800,28800,7080.92
BR0124,12307,0,12307,0,0,0,0,385,0,0,0,385,0.0,7999.55,0.0,0.0,0.0,0,57750,0,0,0,57750,7999.55
BR0125,16473,0,4057,12416,0,0,0,64,194,0,0,258,0.0,3123.89,7822.08,0.0,0.0,0,9600,29100,0,0,38700,10945.97
BR0126,58942,58942,0,0,0,0,1228,0,0,0,0,1228,37133.46,0.0,0.0,0.0,0.0,184200,0,0,0,0,184200,37133.46
BR0127,67606,0,0,67606,0,0,0,0,1057,0,0,1057,0.0,0.0,42591.78,0.0,0.0,0,0,158550,0,0,158550,42591.78
BR0128,5523,0,0,0,5523,0,0,0,0,87,0,87,0.0,0.0,0.0,2512.965,0.0,0,0,0,13050,0,13050,2512.965
BR0129,2589,0,0,0,2589,0,0,0,0,41,0,41,0.0,0.0,0.0,1177.995,0.0,0,0,0,6150,0,6150,1177.995
BR0130,116047,0,116047,0,0,0,0,2418,0,0,0,2418,0.0,60344.44,0.0,0.0,0.0,0,362700,0,0,0,362700,60344.44
BR0131,49927,0,0,0,0,49927,0,0,0,0,1041,1041,0.0,0.0,0.0,0.0,32452.550000000003,0,0,0,0,156150,156150,32452.550000000003
BR0132,44079,6883,15672,10257,5166,6101,123,280,184,93,109,789,4921.344999999999,10186.8,7333.755,3693.69,4362.215,18450,42000,27600,13950,16350,118350,30497.805
BR0133,17366,2712,6174,4041,2035,2404,49,111,73,37,43,313,1939.08,4013.1,2889.315,1455.025,1718.86,7350,16650,10950,5550,6450,46950,12015.38
BR0134,915606,827898,0,87708,0,0,17248,0,1828,0,0,19076,405670.02,0.0,55256.04,0.0,0.0,2587200,0,274200,0,0,2861400,460926.06
BR0135,46669,46669,0,0,0,0,973,0,0,0,0,973,32668.3,0.0,0.0,0.0,0.0,145950,0,0,0,0,145950,32668.3
BR0136,175962,101927,74035,0,0,0,2124,1543,0,0,0,3667,48924.96,39978.9,0.0,0.0,0.0,318600,231450,0,0,0,550050,88903.86
BR0136,188630,109265,79365,0,0,0,2277,1654,0,0,0,3931,52447.2,42857.100000000006,0.0,0.0,0.0,341550,248100,0,0,0,589650,95304.3
BR0137,372701,0,347390,25311,0,0,0,8685,633,0,0,9318,0.0,180642.8,16452.15,0.0,0.0,0,1302750,94950,0,0,1397700,197094.95
BR0138,1754,1754,0,0,0,0,19,0,0,0,0,19,1052.4,0.0,0.0,0.0,0.0,2850,0,0,0,0,2850,1052.4
BR0139,71748,0,71748,0,0,0,0,1495,0,0,0,1495,0.0,41972.58,0.0,0.0,0.0,0,224250,0,0,0,224250,41972.58
BR0140,16510,0,16510,0,0,0,0,295,0,0,0,295,0.0,9245.6,0.0,0.0,0.0,0,44250,0,0,0,44250,9245.6
BR0141,57749,0,57749,0,0,0,0,1032,0,0,0,1032,0.0,32339.44,0.0,0.0,0.0,0,154800,0,0,0,154800,32339.44
